SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0022,glacier_hut,7/18/19 9:15,0.2,13.91,89.8,5.48,,,101.78,5.09,0.2,2.31,0.16,0.14,0.17,0,0.49,0.52,0.01,,0.19,,0.01,0,1.58,0,0.01,0,0,1,,,,-125.073,-16.958
WG0023,Terminus,7/18/19 12:38,0.8,17.74,96.1,5.58,,,151.25,7.57,0.05,3.38,0.03,0.18,0.14,0,0.62,0.3,0.01,,0.12,,0,0,1.51,0,0.01,0,0,1.24,,,,-121.865,-16.388
WG0024,terminus_gw,7/18/19 13:35,,127.75,,6.01,,,993.3,49.71,0,27.49,0.01,0.3,0.6,0,1.45,1.56,0.23,,0.05,,0.02,0,21.61,0,0,0,0.03,2.43,,,,-100.662,-12.784
WG0025,mid_gw,7/18/19 14:38,,63.3,,5.89,,,455.48,22.79,0,12.36,0,0.08,0.23,0,0.87,1.13,0.06,,0.13,,0,0,10.07,0,0,0,0,0.85,,,,-113.104,-15.387
WG0026,Tundra,7/18/19 15:45,14,15.31,90.8,5.67,,,140.95,7.05,0,2.57,0.01,0.08,0.07,0,0.68,0.56,0.02,,0.12,,0,0,1.03,0,0,0,0,1.16,,,,-114.858,-15.682
WG0027,glacier_hut,7/18/19 19:47,0.2,12.57,90.3,5.5,,,88.99,4.45,0.02,2.31,0.03,0.17,0.16,0,0.6,0.27,0.01,,0.17,,0.01,0,1.48,0,0.01,0,0,0.92,,,,-126.166,-17.388
WG0028,glacier_hut,7/19/19 9:36,,12.63,,5.5,,,89.97,4.5,0.03,2.11,0.01,0.05,0.11,0,0.49,0.21,0.01,,0.19,,0.02,0,1.53,0,0.01,0,0,0.63,,,,-126.42,-17.506
WG0029,Terminus,7/19/19 12:35,0.7,18.44,96.8,5.61,,,163.01,8.16,0.41,3.42,0.33,0.23,0.23,0.01,0.55,0.93,0.01,,0.14,,0,0,1.6,0,0,0,0,0.76,,,,-124.093,-16.936
WG0030,supraglacial,7/19/19 13:51,0,1.4,92.7,5.55,,,14.59,0.73,0,0.04,0.01,0.19,0,0,0.52,0.07,0,,0.01,,0,0,0.01,0,0,0.04,0.08,0.84,,,,-119.446,-16.344
WG0031,terminus_gw,7/19/19 14:29,,148.47,,6.06,,,1166.49,58.38,0,30.55,0.01,0.35,0.71,0,1.81,1.6,0.29,,0.06,,0,0,23.73,0,0,0,0.04,2.07,,,,-127.13,-17.484
