ISO 8601 UTC,Timestamp (UTC-09:00),Value
2022-09-22T07:00:00Z,9/21/22 22:00,0.887325264
2022-09-22T07:15:00Z,9/21/22 22:15,0.887374703
2022-09-22T07:30:00Z,9/21/22 22:30,0.886899803
2022-09-22T07:45:00Z,9/21/22 22:45,0.886425155
2022-09-22T08:00:00Z,9/21/22 23:00,0.885688986
2022-09-22T08:15:00Z,9/21/22 23:15,0.886000113
2022-09-22T08:30:00Z,9/21/22 23:30,0.974147574
2022-09-22T08:45:00Z,9/21/22 23:45,0.974197
2022-09-22T09:00:00Z,9/22/22 0:00,0.88719627
2022-09-22T09:15:00Z,9/22/22 0:15,0.888295072
2022-09-22T09:30:00Z,9/22/22 0:30,0.888869731
2022-09-22T09:45:00Z,9/22/22 0:45,0.886558189
2022-09-22T10:00:00Z,9/22/22 1:00,0.88765619
2022-09-22T10:15:00Z,9/22/22 1:15,0.887443327
2022-09-22T10:30:00Z,9/22/22 1:30,0.887561788
2022-09-22T10:45:00Z,9/22/22 1:45,0.884730599
2022-09-22T11:00:00Z,9/22/22 2:00,0.885041357
2022-09-22T11:15:00Z,9/22/22 2:15,0.884045033
2022-09-22T11:30:00Z,9/22/22 2:30,0.884094248
2022-09-22T11:45:00Z,9/22/22 2:45,0.969980831
2022-09-22T12:00:00Z,9/22/22 3:00,0.968387588
2022-09-22T12:15:00Z,9/22/22 3:15,0.96979258
2022-09-22T12:30:00Z,9/22/22 3:30,0.968485798
2022-09-22T12:45:00Z,9/22/22 3:45,0.881730882
2022-09-22T13:00:00Z,9/22/22 4:00,0.969080606
2022-09-22T13:15:00Z,9/22/22 4:15,0.967774779
2022-09-22T13:30:00Z,9/22/22 4:30,0.966680522
2022-09-22T13:45:00Z,9/22/22 4:45,0.965872882
2022-09-22T14:00:00Z,9/22/22 5:00,0.965636452
2022-09-22T14:15:00Z,9/22/22 5:15,0.96340517
2022-09-22T14:30:00Z,9/22/22 5:30,0.965449013
2022-09-22T14:45:00Z,9/22/22 5:45,0.966639863
2022-09-22T15:00:00Z,9/22/22 6:00,0.965471155
2022-09-22T15:15:00Z,9/22/22 6:15,0.964949625
2022-09-22T15:30:00Z,9/22/22 6:30,0.963934159
2022-09-22T15:45:00Z,9/22/22 6:45,0.964192287
2022-09-22T16:00:00Z,9/22/22 7:00,0.964031861
2022-09-22T16:15:00Z,9/22/22 7:15,0.963720279
2022-09-22T16:30:00Z,9/22/22 7:30,0.964053952
2022-09-22T16:45:00Z,9/22/22 7:45,0.963817947
2022-09-22T17:00:00Z,9/22/22 8:00,0.963581999
2022-09-22T17:15:00Z,9/22/22 8:15,0.962776934
2022-09-22T17:30:00Z,9/22/22 8:30,0.962541237
2022-09-22T17:45:00Z,9/22/22 8:45,0.964793231
2022-09-22T18:00:00Z,9/22/22 9:00,1.04960303
2022-09-22T18:15:00Z,9/22/22 9:15,0.962612667
2022-09-22T18:30:00Z,9/22/22 9:30,0.963515206
2022-09-22T18:45:00Z,9/22/22 9:45,0.965844568
2022-09-22T19:00:00Z,9/22/22 10:00,0.963612813
2022-09-22T19:15:00Z,9/22/22 10:15,0.961670349
2022-09-22T19:30:00Z,9/22/22 10:30,0.96143491
2022-09-22T19:45:00Z,9/22/22 10:45,0.963474477
2022-09-22T20:00:00Z,9/22/22 11:00,0.961532292
2022-09-22T20:15:00Z,9/22/22 11:15,0.96179101
2022-09-22T20:30:00Z,9/22/22 11:30,0.958151927
2022-09-22T20:45:00Z,9/22/22 11:45,0.963310641
2022-09-22T21:00:00Z,9/22/22 12:00,0.963928921
2022-09-22T21:15:00Z,9/22/22 12:15,0.963977722
2022-09-22T21:30:00Z,9/22/22 12:30,0.96281413
2022-09-22T21:45:00Z,9/22/22 12:45,0.964001631
2022-09-22T22:00:00Z,9/22/22 13:00,0.965190593
2022-09-22T22:15:00Z,9/22/22 13:15,0.965524713
2022-09-22T22:30:00Z,9/22/22 13:30,0.969216445
2022-09-22T22:45:00Z,9/22/22 13:45,0.969265495
2022-09-22T23:00:00Z,9/22/22 14:00,0.969028161
2022-09-22T23:15:00Z,9/22/22 14:15,0.969936645
2022-09-22T23:30:00Z,9/22/22 14:30,0.970486236
2022-09-22T23:45:00Z,9/22/22 14:45,0.969388873
2022-09-23T00:00:00Z,9/22/22 15:00,0.881515146
2022-09-23T00:15:00Z,9/22/22 15:15,0.966340852
2022-09-23T00:30:00Z,9/22/22 15:30,0.966961033
2022-09-23T00:45:00Z,9/22/22 15:45,0.967581609
2022-09-23T01:00:00Z,9/22/22 16:00,0.967058874
2022-09-23T01:15:00Z,9/22/22 16:15,0.879937904
2022-09-23T01:30:00Z,9/22/22 16:30,0.967728455
2022-09-23T01:45:00Z,9/22/22 16:45,0.967205636
2022-09-23T02:00:00Z,9/22/22 17:00,0.966683098
2022-09-23T02:15:00Z,9/22/22 17:15,0.879353433
2022-09-23T02:30:00Z,9/22/22 17:30,0.965426081
2022-09-23T02:45:00Z,9/22/22 17:45,0.878218624
2022-09-23T03:00:00Z,9/22/22 18:00,0.964383201
2022-09-23T03:15:00Z,9/22/22 18:15,0.878056607
2022-09-23T03:30:00Z,9/22/22 18:30,0.963056831
2022-09-23T03:45:00Z,9/22/22 18:45,0.961188308
2022-09-23T04:00:00Z,9/22/22 19:00,0.96095292
2022-09-23T04:15:00Z,9/22/22 19:15,0.962706797
2022-09-23T04:30:00Z,9/22/22 19:30,0.874999154
2022-09-23T04:45:00Z,9/22/22 19:45,0.960814737
2022-09-23T05:00:00Z,9/22/22 20:00,0.960863312
2022-09-23T05:15:00Z,9/22/22 20:15,0.962048298
2022-09-23T05:30:00Z,9/22/22 20:30,0.960466117
2022-09-23T05:45:00Z,9/22/22 20:45,0.961366495
2022-09-23T06:00:00Z,9/22/22 21:00,1.046904789
2022-09-23T06:15:00Z,9/22/22 21:15,0.960044243
2022-09-23T06:30:00Z,9/22/22 21:30,1.045456289
2022-09-23T06:45:00Z,9/22/22 21:45,1.044269843
2022-09-23T07:00:00Z,9/22/22 22:00,1.044009793
2022-09-23T07:15:00Z,9/22/22 22:15,1.044366807
2022-09-23T07:30:00Z,9/22/22 22:30,1.041721796
2022-09-23T07:45:00Z,9/22/22 22:45,1.127761962
2022-09-23T08:00:00Z,9/22/22 23:00,1.126478181
2022-09-23T08:15:00Z,9/22/22 23:15,1.128525515
2022-09-23T08:30:00Z,9/22/22 23:30,1.126574905
2022-09-23T08:45:00Z,9/22/22 23:45,1.126956211
2022-09-23T09:00:00Z,9/23/22 0:00,1.12667163
2022-09-23T09:15:00Z,9/23/22 0:15,1.212353476
2022-09-23T09:30:00Z,9/23/22 0:30,1.2098968
2022-09-23T09:45:00Z,9/23/22 0:45,1.20968164
2022-09-23T10:00:00Z,9/23/22 1:00,1.20999342
2022-09-23T10:15:00Z,9/23/22 1:15,1.208969583
2022-09-23T10:30:00Z,9/23/22 1:30,1.208040473
2022-09-23T10:45:00Z,9/23/22 1:45,1.207018289
2022-09-23T11:00:00Z,9/23/22 2:00,1.207780008
2022-09-23T11:15:00Z,9/23/22 2:15,1.293547649
2022-09-23T11:30:00Z,9/23/22 2:30,1.29054172
2022-09-23T11:45:00Z,9/23/22 2:45,1.292116138
2022-09-23T12:00:00Z,9/23/22 3:00,1.374331865
2022-09-23T12:15:00Z,9/23/22 3:15,1.37671089
2022-09-23T12:30:00Z,9/23/22 3:30,1.462935439
2022-09-23T12:45:00Z,9/23/22 3:45,1.4603924
2022-09-23T13:00:00Z,9/23/22 4:00,1.545245586
2022-09-23T13:15:00Z,9/23/22 4:15,1.630098835
2022-09-23T13:30:00Z,9/23/22 4:30,1.629665528
2022-09-23T13:45:00Z,9/23/22 4:45,1.628751014
2022-09-23T14:00:00Z,9/23/22 5:00,1.714035581
2022-09-23T14:15:00Z,9/23/22 5:15,1.714590412
2022-09-23T14:30:00Z,9/23/22 5:30,1.713625761
2022-09-23T14:45:00Z,9/23/22 5:45,1.712795818
2022-09-23T15:00:00Z,9/23/22 6:00,1.714735326
2022-09-23T15:15:00Z,9/23/22 6:15,1.714277038
2022-09-23T15:30:00Z,9/23/22 6:30,1.718382382
2022-09-23T15:45:00Z,9/23/22 6:45,1.721988676
2022-09-23T16:00:00Z,9/23/22 7:00,1.634971987
2022-09-23T16:15:00Z,9/23/22 7:15,1.71751234
2022-09-23T16:30:00Z,9/23/22 7:30,1.634585769
2022-09-23T16:45:00Z,9/23/22 7:45,1.641409937
