datetime,shrub,forest,tundra,nellie,glacier,gage
2021-01-02T20:30:00Z,1.031009596,NA,NA,4.255965952,NA,NA
2021-01-02T20:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T21:00:00Z,1.015268689,NA,NA,4.24003392,NA,NA
2021-01-02T21:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T21:30:00Z,1.030854261,NA,NA,4.256034048,NA,NA
2021-01-02T21:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T22:00:00Z,1.023622672,NA,NA,4.256,NA,NA
2021-01-02T22:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T22:30:00Z,1.024248487,NA,NA,4.2000336,NA,NA
2021-01-02T22:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T23:00:00Z,1.016873749,NA,NA,4.208033664,NA,NA
2021-01-02T23:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T23:30:00Z,1.025209015,NA,NA,4.232033856,NA,NA
2021-01-02T23:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T00:00:00Z,1.009097771,NA,NA,4.184,NA,NA
2021-01-03T00:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T00:30:00Z,1.024508792,NA,NA,4.160066561,NA,NA
2021-01-03T00:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T01:00:00Z,1.008769143,NA,NA,4.16003328,NA,NA
2021-01-03T01:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T01:30:00Z,1.024752947,NA,NA,4.152033216,NA,NA
2021-01-03T01:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T02:00:00Z,1.008432721,NA,NA,4.071967424,NA,NA
2021-01-03T02:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T02:30:00Z,1.031451331,NA,NA,4.104,NA,NA
2021-01-03T02:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T03:00:00Z,1.015832705,NA,NA,4.104,NA,NA
2021-01-03T03:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T03:30:00Z,1.016042356,NA,NA,4.104032832,NA,NA
2021-01-03T03:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T04:00:00Z,1.016114948,NA,NA,4.072,NA,NA
2021-01-03T04:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T04:30:00Z,1.008480767,NA,NA,4.032,NA,NA
2021-01-03T04:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T05:00:00Z,1.000651217,NA,NA,4.087934593,NA,NA
2021-01-03T05:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T05:30:00Z,1.008536827,NA,NA,4.064032512,NA,NA
2021-01-03T05:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T06:00:00Z,1.000269914,NA,NA,4.072032576,NA,NA
2021-01-03T06:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T06:30:00Z,1.023988315,NA,NA,4.016032128,NA,NA
2021-01-03T06:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T07:00:00Z,1.023972059,NA,NA,4.04,NA,NA
2021-01-03T07:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T07:30:00Z,1.016123014,NA,NA,4.08003264,NA,NA
2021-01-03T07:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T08:00:00Z,1.008072518,NA,NA,4.04,NA,NA
2021-01-03T08:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T08:30:00Z,1.016324716,NA,NA,4.000032,NA,NA
2021-01-03T08:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T09:00:00Z,1.01653457,NA,NA,4.008032064,NA,NA
2021-01-03T09:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T09:30:00Z,1.015011062,NA,NA,4.016032128,NA,NA
2021-01-03T09:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T10:00:00Z,1.036343212,NA,NA,3.999968,NA,NA
2021-01-03T10:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T10:30:00Z,1.04159269,NA,NA,4.000032,NA,NA
2021-01-03T10:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T11:00:00Z,1.03975487,NA,NA,4.015967872,NA,NA
2021-01-03T11:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T11:30:00Z,1.053417712,NA,NA,4.000032,NA,NA
2021-01-03T11:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T12:00:00Z,1.052838342,NA,NA,3.976031808,NA,NA
2021-01-03T12:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T12:30:00Z,1.059297098,NA,NA,3.992031936,NA,NA
2021-01-03T12:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T13:00:00Z,1.067177238,NA,NA,3.96003168,NA,NA
2021-01-03T13:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T13:30:00Z,1.089931076,NA,NA,3.95996832,NA,NA
2021-01-03T13:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T14:00:00Z,1.066031228,NA,NA,3.96,NA,NA
2021-01-03T14:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T14:30:00Z,1.089000313,NA,NA,3.951968384,NA,NA
2021-01-03T14:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T15:00:00Z,1.082174701,NA,NA,3.952031616,NA,NA
2021-01-03T15:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T15:30:00Z,1.077145643,NA,NA,3.936,NA,NA
2021-01-03T15:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T16:00:00Z,1.087350489,NA,NA,3.976063617,NA,NA
2021-01-03T16:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T16:30:00Z,1.08091049,NA,NA,3.904031232,NA,NA
2021-01-03T16:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T17:00:00Z,1.082404993,NA,NA,3.936094466,NA,NA
2021-01-03T17:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T17:30:00Z,1.067463706,NA,NA,3.880124164,NA,NA
2021-01-03T17:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T18:00:00Z,1.060344691,NA,NA,3.904093698,NA,NA
2021-01-03T18:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T18:30:00Z,1.068680536,NA,NA,3.792121348,NA,NA
2021-01-03T18:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T19:00:00Z,1.068739758,NA,NA,3.864123652,NA,NA
2021-01-03T19:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T19:30:00Z,1.069095229,NA,NA,3.872185865,NA,NA
2021-01-03T19:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T20:00:00Z,1.061638409,NA,NA,3.856154246,NA,NA
2021-01-03T20:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T20:30:00Z,1.070180028,NA,NA,3.840122884,NA,NA
2021-01-03T20:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T21:00:00Z,1.0628004,NA,NA,3.800182409,NA,NA
2021-01-03T21:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T21:30:00Z,1.063492063,NA,NA,3.80027362,NA,NA
2021-01-03T21:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T22:00:00Z,1.055882376,NA,NA,3.776302104,NA,NA
2021-01-03T22:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T22:30:00Z,1.064201531,NA,NA,3.792333725,NA,NA
2021-01-03T22:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T23:00:00Z,1.0560249,NA,NA,3.832398569,NA,NA
2021-01-03T23:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-03T23:30:00Z,1.071624185,NA,NA,3.784333021,NA,NA
2021-01-03T23:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T00:00:00Z,1.056091983,NA,NA,3.728298264,NA,NA
2021-01-04T00:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T00:30:00Z,1.0560249,NA,NA,3.672323164,NA,NA
