SampleID,Site,Datetime,doy,yearS,Temperature,DO_mgl,DO_perctsat,SpC_field,pH_field,pH_lab,ANC_H,ANC_CACO3,SpC_lab,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,P_PO4,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,DOC,FInew,Abs254,FDOM_lab,HIX,SlopeRatio,pnum,pdenom,Fmax370,MaxFluor313,T280,FAem,FAex,HAem,HAex,Beta1,Alpha,Freshness_Index,d2H,d18O,d17O,F_Modern,Fm_Err,Age,Age_Err,d13C,d13C_Source,D14C,DOC_Conc,Fluoresence_Index,Peak_370,TDS,Turbidity,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn
NA,nellie_juan_delta_iso,2016-05-14T20:00:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.54,-16.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,surface_snow,2016-05-14T20:35:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-14T20:40:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.13,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-14T20:54:00Z,135,2016,1.6,NA,NA,NA,8.1,NA,NA,NA,NA,NA,0.42,NA,0.22,NA,2.99,NA,NA,NA,NA,NA,0.03514,8.5388,0.04619,0.10301,0.14711,0,0.37119,NA,NA,0.31,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.9,-16.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047,0.00211,0,0,4.4e-4,5.2e-4,0,0.00108,0,0,0.0026
NA,stream_gauge,2016-05-15T18:09:00Z,136,2016,2.1,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.13,-16.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-15T20:10:00Z,136,2016,1.4,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.71,-17.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-16T18:58:00Z,137,2016,0.6,NA,NA,40,8.22,NA,NA,NA,NA,NA,0,NA,0,NA,1.83,NA,NA,NA,NA,NA,0.02403,7.49538,0,0.10966,0.19046,0.00104,0.49852,NA,NA,0.28,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.76,-17.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.00253,0.00285,0,4.3e-4,4.5e-4,0,0,7.4e-4,2.7e-4,0,0.00265
NA,stream_gauge,2016-05-16T19:24:00Z,137,2016,0.9,NA,NA,40,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-125.62,-16.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-30T22:08:00Z,151,2016,7.1,NA,NA,40,8.45,NA,NA,NA,NA,NA,0,NA,0,NA,0.31,NA,NA,NA,NA,NA,0.01077,6.44275,0,0.17162,0.21212,0.00239,0.54902,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.96,-17.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.00224,0.00263,0,0.0041,4e-4,0,1.3e-4,7.5e-4,0,0,0.01434
NA,lake_inlet,2016-05-31T00:50:00Z,151,2016,1.1,NA,NA,18,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.01,-16.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,tundra_longlake,2016-05-31T01:49:00Z,151,2016,0.6,NA,NA,22,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-125.98,-17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-31T20:05:00Z,152,2016,1.4,NA,NA,32,7.39,NA,NA,NA,NA,NA,0,NA,0.17,NA,0.71,NA,NA,NA,NA,NA,0.02978,1.78023,0.04922,0.05963,0,0.00103,0,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.33,-17.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,3.8e-4,0.00153,0,0,0,0,0,0,0,0,0.00489
NA,tundra_west,2016-05-31T22:52:00Z,152,2016,2.6,NA,NA,11,7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.3,-16.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-06-01T17:36:00Z,153,2016,1.5,NA,NA,19,6.67,NA,NA,NA,NA,NA,0.23,NA,0.19,NA,0.51,NA,NA,NA,NA,NA,0.01632,1.61527,0,0,0,0,0.11132,NA,NA,0.41,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-125.52,-17.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2.2e-4,0.00155,0,0,0,0,0,0,0,0,0.00171
NA,terminus,2016-06-01T19:15:00Z,153,2016,1,NA,NA,36,7.7,NA,NA,NA,NA,NA,0,NA,NA,NA,1.42,NA,NA,NA,NA,NA,0,4.8231,0,0.18692,0.13935,0.00145,0.36664,NA,NA,0,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131.03,-17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0.00127,0.00206,0,7.2e-4,3e-4,0,0,5.2e-4,0,0,0.00864
NA,tundra_waterfall,2016-06-01T20:10:00Z,153,2016,8.4,NA,NA,24,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.76,-15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,tundra_west,2016-06-01T22:30:00Z,153,2016,1.4,NA,NA,21,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.91,-17.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,nellie_juan,2016-06-02T19:20:00Z,154,2016,3.6,NA,NA,41,7.27,NA,NA,NA,NA,NA,0.61,NA,0.45,NA,3.57,NA,NA,NA,NA,NA,0.02533,5.6833,0,0.16463,0.27868,0.0014,0.55134,NA,NA,0.28,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.79,-15.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,6.4e-4,0.00297,0,0,5.9e-4,3.5e-4,0,0,0,0,0.00578
NA,nellie_juan,2016-07-14T18:30:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.99,-15.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-07-14T18:48:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.71,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-07-14T19:04:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.06,-16.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,camp lake,2016-07-14T20:17:00Z,196,2016,23.7,NA,NA,17,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.79,-12.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-07-14T21:56:00Z,196,2016,16.1,NA,NA,18,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.22,-13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,tundra_longlake,2016-07-14T22:50:00Z,196,2016,4.7,NA,NA,9,7.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.34,-15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
